angle,speed,radius,angular_velocity
0.13,2.3000000000000007,474.07544100082464,1.1043957555046844
0.15,0.8999999999999999,363.44377013229854,0.5350676294524229
0.13,1.7000000000000004,440.0009054955991,0.8845244527900005
0.13,1.5000000000000002,436.28265126180753,0.7859510863464643
0.25,3.1000000000000014,383.4773801007925,1.7559672031906697
0.2,1.3,263.1172553708967,1.1336580963760814
0.2,1.7000000000000004,264.2617635239558,1.478537587437855
0.2,2.1000000000000005,268.94536494446623,1.7691412098922212
0.2,2.2000000000000006,272.46344911759525,1.8272554123571443
0.2,2.3000000000000007,278.41294708349744,1.8633960462264914
0.2,2.500000000000001,289.8920671244117,1.9059855287408938
0.2,2.600000000000001,300.0686065642792,1.9502490206264285
0.3,3.0000000000000013,349.19207407319345,1.8334925492146965
0.13,1.9000000000000006,446.7658049824985,0.9524972544231903
0.17,2.700000000000001,359.38176038022834,1.6605125774639886
0.17,2.500000000000001,342.00516826254943,1.6194328530339905
0.17,2.3000000000000007,330.78742045346684,1.579997729243196
0.17,2.0000000000000004,321.3228926223765,1.4383912899887679
0.17,1.8000000000000005,317.10897411699307,1.3147449690400415
0.17,3.2000000000000015,434.63292240736234,1.4928228767366414
0.17,3.0000000000000013,400.9922815621991,1.6272960325329966
0.17,2.9000000000000012,387.4990880897217,1.6497513059571371
0.35,1.3,188.51713935086443,1.5670448427609116
0.15,2.3000000000000007,384.34705821694337,1.3777094144004127
0.15,2.600000000000001,394.4512160604261,1.4487273411825883
0.25,1.7000000000000004,214.4686546805744,1.8399476131267458
0.25,1.9000000000000006,219.16159915450183,1.96998758004699
0.25,1.3,213.6672900461937,1.3917991783379762
0.25,1.5000000000000002,213.85924127318745,1.6054438383744736
0.25,0.8999999999999999,216.30413475762612,0.9266114439065077
0.25,1.0999999999999999,217.23948936537764,1.1721575008144383
0.25,2.400000000000001,252.7513486202987,2.1432511757204438
0.25,2.700000000000001,295.2832288746486,1.9504103018985806
0.25,2.2000000000000006,232.8400725505874,2.1568078257304144
0.25,2.600000000000001,276.8562917329049,2.072284173400016
0.15,1.7000000000000004,371.3128848081303,1.0466844015398051
0.15,1.9000000000000006,375.39092437281,1.176550375177534
0.15,1.5000000000000002,366.9304153484949,0.9333538714433149
0.3,1.4000000000000001,191.8602225791148,1.7600249167443691
0.3,1.0999999999999999,190.04976985697996,1.3365772119939634
0.3,0.7,188.90609275503374,0.8836978536216181
0.3,0.8999999999999999,187.79353007995155,1.103913192446727
0.25,0.7,215.41649019064738,0.7095148433264964
0.25,0.7999999999999999,211.6112782301439,0.8438134877141164
0.25,0.6,226.796324737713,0.6197532184776061
0.3,2.500000000000001,254.3375588372985,2.1865282624371387
0.3,2.3000000000000007,241.76743915352478,2.2627977902607084
0.3,2.1000000000000005,217.3827145876504,2.33389382218161
0.4,2.9000000000000012,329.19777723991024,1.8709185285862149
0.4,2.800000000000001,306.96813926709194,1.9032670733776784
0.4,3.2000000000000015,394.598664125554,1.7732256424480841
0.35,2.9000000000000012,328.21720746520776,1.9100189508080783
0.35,3.0000000000000013,347.15201468964983,1.8448415284182058
0.3,1.7000000000000004,194.74017227192803,2.0180011983733515
0.25,0.6,221.659084594993,0.6252049812546362
0.4,0.7,186.0064995630824,0.8761223926263504
0.4,2.2000000000000006,215.40601747616887,2.2788647395840984
0.4,1.8000000000000005,188.92497528400685,2.095495575099534
0.17,1.3,316.93887120169626,0.9393281168203766
0.35,1.9000000000000006,206.8455804907531,2.197137023948865
0.35,2.1000000000000005,217.07395578101145,2.2575687631244774
0.35,2.3000000000000007,231.58728724875468,2.172657506044607
0.35,2.800000000000001,310.92444746129456,1.8872959937949523
